大类,子类,软件/数据库名称,功能特点,链接,论文DOI
序列比对与搜索工具,短读长比对工具,BWA,将短读长高效比对到参考基因组，支持三种算法，适合不同长度序列,http://bio-bwa.sourceforge.net/,10.1093/bioinformatics/btp324
序列比对与搜索工具,短读长比对工具,Bowtie2,快速短读长比对，低内存消耗，适合大规模测序数据,https://bowtie-bio.sourceforge.io/bowtie2/,10.1038/nmeth.1923
序列比对与搜索工具,短读长比对工具,Minimap2,长读长 (PacBio/Nanopore) 和基因组比对，适用于高度相似序列,https://github.com/lh3/minimap2,10.1093/bioinformatics/bty191
序列比对与搜索工具,短读长比对工具,STAR,RNA-seq 数据剪接位点感知比对，速度快，适合长读长和复杂转录组,https://github.com/alexdobin/STAR,10.1093/bioinformatics/bts635
序列比对与搜索工具,全局 / 局部比对工具,BLAST,序列数据库相似性搜索，支持多种比对模式 (核酸 / 蛋白质),https://blast.ncbi.nlm.nih.gov/,10.1016/S0022-2836(05)80360-2
序列比对与搜索工具,全局 / 局部比对工具,Clustal Omega,多序列比对，适合同源序列分析，提供渐进式比对策略,http://www.clustal.org/omega/,10.1093/bioinformatics/btu033
序列比对与搜索工具,全局 / 局部比对工具,MAFFT,高精度多序列比对，提供多种算法，适合不同规模数据集,https://mafft.cbrc.jp/alignment/software/,10.1093/molbev/mst010
序列比对与搜索工具,全局 / 局部比对工具,DIAMOND,蛋白质序列比对，速度比 BLAST 快 100 倍，适合大规模蛋白质组分析,https://github.com/bbuchfink/diamond,10.1038/nmeth.3176
质控与预处理软件,,FastQC,测序数据质量评估，生成 12 项质量指标报告 (碱基质量 / GC 含量等),https://www.bioinformatics.babraham.ac.uk/projects/fastqc/,-
质控与预处理软件,,MultiQC,整合多个质控报告为一个综合报告，便于批量样本分析,https://multiqc.info/,10.1093/bioinformatics/btv563
质控与预处理软件,,Trimmomatic,切除低质量末端、接头序列和污染，支持单端 / 双端测序,http://www.usadellab.org/cms/?page=trimmomatic,10.1093/bioinformatics/btu170
质控与预处理软件,,Cutadapt,专门去除测序接头、引物等，支持多种接头类型和复杂结构,https://github.com/marcelm/cutadapt,10.14806/ej.17.1.200
质控与预处理软件,,SeqKit,一站式 FASTA/FASTQ 文件处理，支持序列提取、过滤、转换等操作,https://github.com/shenwei356/seqkit,10.1093/bioinformatics/btv635
基因组分析软件,变异检测工具,GATK,基因组变异检测 (SNP/indel) 标准工具，提供完整变异检测流程,https://gatk.broadinstitute.org/,10.1101/gr.107524.110
基因组分析软件,变异检测工具,SAMtools/BCFtools,处理 SAM/BAM 格式文件，变异检测和格式转换，NGS 必备工具,https://github.com/samtools/,10.1093/bioinformatics/btp352
基因组分析软件,变异检测工具,VarScan2,体细胞变异和拷贝数变异检测，适合肿瘤基因组研究,https://varscan.sourceforge.net/,10.1101/gr.109492.110
基因组分析软件,变异检测工具,Delly,结构变异检测 (缺失 / 插入 / 倒位 / 易位)，适合癌症基因组学研究,https://github.com/dellytools/delly,10.1038/nmeth.2867
基因组分析软件,基因组组装工具,SPAdes,基因组组装，特别适合单细胞和混合测序数据，有专门版本 (如 metaSPAdes),http://cab.spbu.ru/software/spades/,10.1089/cmb.2012.0021
基因组分析软件,基因组组装工具,Canu,专为 PacBio 和 Oxford Nanopore 长读长测序数据设计的组装工具,https://canu.readthedocs.io/,10.1101/gr.215087.116
基因组分析软件,基因组组装工具,Flye,长读长组装工具，速度快，内存占用少，适合大型基因组,https://github.com/fenderglass/Flye,10.1038/nmeth.4396
基因组分析软件,基因组组装工具,Hifiasm,单倍型解析组装，适合二倍体和多倍体基因组，支持 PacBio HiFi 数据,https://github.com/chhylp123/hifiasm,10.1038/s41587-020-0461-0
